rank,name,net_worth,age,title,source_of_wealth,self_made_score,philantrophy_score,residence,marital_status,children,education
160,Ken Langone,$5.7 B,87,,"investments, Self Made",9,3,"Sands Point, New York",Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business"
160,Douglas Leone,$5.7 B,65,"Global Managing Partner, Sequoia","venture capital, Self Made",9,2,"Atherton, California",Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management"
160,Karen Pritzker,$5.7 B,64,,"hotels, investments",3,2,"Branford, Connecticut",Widowed,4,"Bachelor of Arts/Science, Northwestern University"
160,Patrick Soon-Shiong,$5.7 B,70,,"pharmaceuticals, Self Made",9,2,"Los Angeles, California",Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand"
160,Daniel Ziff,$5.7 B,50,,investments,4,1,"New York, New York",Married,1,"Bachelor of Arts/Science, Columbia University"
160,Dirk Ziff,$5.7 B,58,,investments,4,1,"North Palm Beach, Florida",Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University"
160,Robert Ziff,$5.7 B,56,,investments,4,1,"New York, New York",Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University"
169,"Henry Nicholas, III.",$5.6 B,62,"Cofounder, Broadcom","semiconductors, Self Made",8,1,"Newport Coast, California",Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
169,Ronda Stryker,$5.6 B,68,,medical equipment,2,3,"Portage, Michigan",Married,3,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University"
171,Micky Arison,$5.5 B,73,"Chairman and CEO, Carnival Corp.",Carnival Cruises,5,1,"Bal Harbour, Florida",Married,2,"Drop Out, University of Miami"
171,James Chambers,$5.5 B,65,,"media, automotive",1,1,"Palisades, New York",Married,2,"Bachelor of Arts/Science, Bard College"
171,Wesley Edens,$5.5 B,60,,"investments, Self Made",8,,"New York, New York",Married,4,"Bachelor of Arts/Science, Oregon State University"
171,Archie Aldis Emmerson & family,$5.5 B,93,,"timberland, lumber mills, Self Made",9,1,"Redding, California",Married,3,"Diploma, High School"
171,Jonathan Gray,$5.5 B,52,,"investments, Self Made",6,2,"New York, New York",Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
171,Judy Love,$5.5 B,85,,"retail & gas stations, Self Made",9,1,"Oklahoma City, Oklahoma",Married,4,"Bachelor of Arts/Science, University of Central Oklahoma"
171,Tom Love,$5.5 B,84,,"retail & gas stations, Self Made",9,1,"Oklahoma City, Oklahoma",Married,4,
171,Katharine Rayner,$5.5 B,77,,"media, automotive",1,1,"East Hampton, New York",Widowed,,"Bachelor of Arts/Science, Sarah Lawrence college"
171,Paul Singer,$5.5 B,78,"Founder, Elliott Management","hedge funds, Self Made",8,2,"New York, New York",In Relationship,,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester"
171,Margaretta Taylor,$5.5 B,80,,"media, automotive",1,1,"Southampton, New York",,,"Bachelor of Arts/Science, Finch College"
181,Tom Golisano,$5.4 B,80,,"payroll services, Self Made",9,2,"Naples, Florida",Married,2,"Associate in Arts/Science, SUNY Tech Alfred"
181,Vinod Khosla,$5.4 B,67,"Partner, Khosla Ventures","venture capital, Self Made",8,2,"Portola Valley, California",Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business"
181,George Lucas,$5.4 B,78,,"Star Wars, Self Made",8,3,"San Anselmo, California",Married,4,"Bachelor of Arts/Science, University of Southern California"
184,Todd Boehly,$5.3 B,49,,"Finance, Self Made",7,,"Darien, Connecticut",Married,3,"Bachelor of Business Administration, College of William & Mary"
184,Rick Caruso,$5.3 B,63,,"real estate, Self Made",7,2,"Los Angeles, California",Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California"
184,Lynda Resnick,$5.3 B,79,,"agriculture, Self Made",8,3,"Beverly Hills, California",Married,5,
184,Stewart Resnick,$5.3 B,85,,"agriculture, Self Made",8,3,"Beverly Hills, California",Married,5,
184,Charles Simonyi,$5.3 B,74,,"Microsoft, Self Made",6,2,"Medina, Washington",Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley"
184,Sam Zell,$5.3 B,80,,"real estate, private equity, Self Made",8,3,"Chicago, Illinois",Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan"
190,Robert Faith,$5.2 B,58,,"real estate management, Self Made",8,1,"Charleston, South Carolina",Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma"
190,Dan Friedkin,$5.2 B,57,"owner and ceo, Gulf States Toyota",Toyota dealerships,4,3,"Houston, Texas",Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University"
190,Jane Lauder,$5.2 B,49,,Estée Lauder,4,,"New York, New York",Married,,"Bachelor of Arts/Science, Stanford University"
190,"Robert Rich, Jr.",$5.2 B,81,,frozen foods,5,1,"Islamorada, Florida",Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College"
190,Gary Rollins,$5.2 B,78,,pest control,3,1,"Atlanta, Georgia",Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga"
190,Mark Walter,$5.2 B,62,"CEO, Guggenheim Partners LLC","finance, Self Made",8,2,"Chicago, Illinois",Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University"
196,Elizabeth Johnson,$5.1 B,59,,money management,1,2,"Boston, Massachusetts",,,"Bachelor of Arts/Science, Franklin Pierce University"
196,Sami Mnaymneh,$5.1 B,61,,"private equity, Self Made",8,1,"Miami Beach, Florida",,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University"
196,Tony Tamer,$5.1 B,64,,"private equity, Self Made",8,,"New York, New York",Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University"
196,Romesh T. Wadhwani,$5.1 B,75,"Founder and Chairman, Symphony Technology Group","software, Self Made",8,2,"Palo Alto, California",Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay"
196,Ken Xie,$5.1 B,59,,"cybersecurity, Self Made",8,1,"Los Altos Hills, California",Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University"
